menu_source_id,venue_id,venue_name,city,menu_url,menu_name,menu_category,menu_source_type,is_primary,discovery_method,retrieval_method,raw_file_path,extraction_status,extraction_confidence,content_hash,checked_at
f3060f17-601f-4fd8-8a24-92b6851a6c6e,893c8b0ef7aeb141,VOX Bar,Berlin,https://vox-restaurant.de/wp-content/uploads/2026/06/Vox-Bar-Karte-Terrace-edition-2026.pdf,Other,WINE,PDF,1,manual_curated,pdf_text,data/evidence/893c8b0ef7aeb141/6d00c974585b8a47.pdf,EXTRACTED,0.9,6d00c974585b8a474434a2532a3517a679dcd2a79499bb729d41bdb4c1df6d63,2026-09-02 11:30:32
6707752a-c0d2-4233-99f6-eaf38b09893e,1878d040b0471fd3,Victoria Bar,Berlin,https://victoriabar.de/fileadmin/daten/downloads/victoriabar-2024-dl.pdf,Other,COCKTAIL,PDF,1,manual_curated,pdf_ocr,data/evidence/1878d040b0471fd3/48f32fce08e87280.pdf,PDF_OCR,0.88,48f32fce08e872803cdbd1f0ba029b156d4afcfb0592a2be18ccda8f37f60736,2026-09-02 11:29:57
b57427bf-a74a-440d-a953-36da09af51e5,eedac532b02140e9,Vincent Piano Bar,Berlin,https://vincent-bar.de/wp-content/uploads/sites/2/2026/01/vincent-getraenkekarte-januar-2026-2-1.pdf,Drinks,DRINKS,PDF,1,phase2_multi_menu_crawl,pdf_text,data/evidence/eedac532b02140e9/1d84b0212c4bc23e.pdf,EXTRACTED,0.9,1d84b0212c4bc23ee3c72a1c27c39f5b86c14abb0cc3ade68239e6133ded646c,2026-09-02 20:56:31
22d418ed-679a-47ba-83e4-21133b45202f,eedac532b02140e9,Vincent Piano Bar,Berlin,https://vincent-bar.de/cocktailkurs/,Cocktailkurs,COCKTAIL,HTML_PAGE,0,phase2_multi_menu_crawl,requests_html,data/evidence/eedac532b02140e9/4f5d68c0371835e7.html,EXTRACTED,0.2,4f5d68c0371835e7a686d6aa3e7ce838248e38a7a238a4f9928b44ffff366ea7,2026-09-02 20:57:08
675cdc40-02fc-4caf-a2d0-be07ec5d3eef,eedac532b02140e9,Vincent Piano Bar,Berlin,https://vincent-bar.de/drinks/,Drinks,DRINKS,HTML_PAGE,0,phase2_multi_menu_crawl,requests_html,data/evidence/eedac532b02140e9/38630d0cf497123e.html,EXTRACTED,1.0,38630d0cf497123e971002176d8eae59388e96d6d6e8981bc28d3452640579c7,2026-09-02 20:57:06
1a0887b0-82f0-4d18-af82-ff97c9a8b5cb,eedac532b02140e9,Vincent Piano Bar,Berlin,https://vincent-bar.de/wp-content/uploads/sites/2/2025/01/vincent-piano-bar-tageskarte.pdf,Food Menu,FOOD,PDF,0,phase2_multi_menu_crawl,pdf_text,data/evidence/eedac532b02140e9/48751fff6284df20.pdf,EXTRACTED,0.9,48751fff6284df20fe7d882291660ad874bb9c8dcbdae0b789929217825d4b73,2026-09-02 20:57:03
67b02147-e7c1-471a-b783-c1d0e79216dd,982ad018da7bf8dc,Voulez Vous,Berlin,https://www.voulezvous-bar.com/karte,Other,COCKTAIL,HTML_PAGE,1,manual_curated,requests_html,data/evidence/982ad018da7bf8dc/8a7bc13dae340b11.html,EXTRACTED,1.0,8a7bc13dae340b11a6e93fa02df851482d1fc417c05125710c7c39a0380c89c5,2026-09-02 11:30:51
141b25eb-4dd5-4a31-bdf6-3b0cf773b0bb,a4282292b45957c1,Z-Bar,Berlin,https://zbarberlin.com/getraenkekarte/,Drinks,DRINKS,HTML_PAGE,1,phase2_multi_menu_crawl,requests_html,data/evidence/a4282292b45957c1/b1238ce5a917bb5f.html,EXTRACTED,1.0,b1238ce5a917bb5fe321fc060757e7063cd00a81e1c592247a56d0e53dc65d3d,2026-09-02 20:55:37
d12f9e5e-5e5b-4f20-b0d1-b22bc3849aab,0cdc8c548f5b67e6,ZGK,Berlin,http://www.myspace.com/cocktails,Cocktail,COCKTAIL,HTML_PAGE,1,phase2_multi_menu_crawl,requests_html,data/evidence/0cdc8c548f5b67e6/023923b04254ca26.html,EXTRACTED,0.4,023923b04254ca260862c20bca5ec2ef99c15b420c04556122a4c426193d6faa,2026-09-03 00:44:24
11a31d1b-e296-438c-980b-38b2e9fadfde,0cdc8c548f5b67e6,ZGK,Berlin,http://www.myspace.com/cocktails/photos,Photos,COCKTAIL,HTML_PAGE,0,phase2_multi_menu_crawl,requests_html,data/evidence/0cdc8c548f5b67e6/5e7e6d2a28f3d6fc.html,EXTRACTED,0.2,5e7e6d2a28f3d6fc76f993a61970b713e8a5829113caf96d6909d26d1efc26cd,2026-09-03 00:44:55
92c3252f-6b61-46bb-9429-659a6bf6c026,0cdc8c548f5b67e6,ZGK,Berlin,http://www.myspace.com/cocktails/videos,Videos,COCKTAIL,HTML_PAGE,0,phase2_multi_menu_crawl,requests_html,,FAILED,0.0,,2026-09-03 00:44:56
17f16dfd-b4f3-4005-80d2-fdbf80c55c03,0cdc8c548f5b67e6,ZGK,Berlin,http://www.myspace.com/cocktails/connections/out,Connections,COCKTAIL,HTML_PAGE,0,phase2_multi_menu_crawl,requests_html,data/evidence/0cdc8c548f5b67e6/57076ee26f066d1a.html,EXTRACTED,0.2,57076ee26f066d1a4b28171e97cec123cf16613418f83f9282e00dc909c13579,2026-09-03 00:44:57
472c2e67-498a-4226-a6f7-de25c89cc490,0cdc8c548f5b67e6,ZGK,Berlin,http://www.myspace.com/cocktails/connections/songs,Songs,COCKTAIL,HTML_PAGE,0,phase2_multi_menu_crawl,requests_html,data/evidence/0cdc8c548f5b67e6/2f44d1215af691a0.html,EXTRACTED,0.2,2f44d1215af691a0d693cf33520d0df88f749b397fe989f2fd40917ff4c98fc4,2026-09-03 00:44:58
d4a3ce32-7602-4b15-b75c-3daf4eb60ce2,0cdc8c548f5b67e6,ZGK,Berlin,http://www.myspace.com/cocktails/connections/albums,Albums,COCKTAIL,HTML_PAGE,0,phase2_multi_menu_crawl,requests_html,data/evidence/0cdc8c548f5b67e6/fee74641cc9dc0c2.html,EXTRACTED,0.2,fee74641cc9dc0c2aaf17c1f058ffa9629f49489f481f62e37e0afaa14be5ba5,2026-09-03 00:44:59
